landuse,lithology,DTM（DEM）,slope,curvature,aspect,NDVI,SPI,TWI,dis2road,dis2drainage,dis2catchment,dis2faults,InSAR_dv,X,Y,label
2,3,205,16.84880066,42.38897705,180,7104,1.108060002,3.49710989,25.32540786,1991.896016,4186.440017,1063.866217,-6.614940166,847762.5697,815008.0092,6.614940166
2,1,131,6.439260006,52.79692459,116.5650024,7543,1.373759985,5.736939907,5.549002108,1.706883461,1.49508112,108.6973761,-4.102479935,841762.6303,813666.4493,4.102479935
2,2,59,8.610589981,13.59956837,180,7901,3.017610073,6.79294014,36.2420458,1042.738279,4763.453728,1.065052082,-3.089999914,818659.1311,815358.3692,3.089999914
2,2,20,27.45919991,66.80328369,299.0549927,6960,0.608286977,1.917440057,2.31242142,939.2097951,4871.129968,970.6309524,-4.073760033,819179.8321,814342.3671,4.073760033
2,2,41,19.99970055,33.97127533,236.3099976,6072,2.678179979,4.699580193,24.27107202,1262.266647,6425.772027,889.3446491,-6.832220078,854479.8844,822749.2862,6.832220078
2,1,44,6.111760139,34.62786484,45,1538,1,2.2,501.7528194,1757.413103,4371.646407,540.8632038,-2.683049917,855310.6777,826622.794,2.683049917
3,1,93,23.25629997,42.44453049,266.6340027,6899,0.76492101,2.453959942,757.8710791,767.6574217,4517.918602,2376.582572,-5.746729851,850109.541,823202.5713,5.746729851
3,1,87,9.068090439,56.63878632,198.4349976,5612,1.566130042,5.236259937,11.41018114,66.06030049,1433.74639,280.7829514,-2.935339928,839239.3325,830194.9933,2.935339928
2,1,60,19.36809921,66.11408997,68.96250153,7147,1.257120013,3.348050117,33.13822282,975.5971782,971.9471863,1613.429453,-4.130030155,845513.6091,826918.4311,4.130030155
1,2,123,23.54159927,32.24032974,79.99199677,7264,3.34352994,5.005239964,128.773876,392.1127068,6317.04795,441.7432483,-2.755620003,819723.8165,816624.1384,2.755620003
