landuse,lithology,DTM（DEM）,slope,curvature,aspect,NDVI,SPI,TWI,dis2road,dis2drainage,dis2catchment,dis2faults,DV,X,Y,label
3,3,11,18.21309853,19.84991264,175.6012878,5901,0.49785161,2.721024275,71.58699914,115.264023,6859.402072,885.2892678,0.949320197,832514,840897,1
3,3,129,34.46855545,2.101497889,216.0273743,7978,-5,6,204.0070443,245.0624361,485.6881203,513.9021215,-0.000001,808226.1875,810593.125,0
3,1,68,29.19049263,53.38465881,161.5650482,5452,1.027229786,2.191646099,66.17852137,354.1416844,828.1241116,181.1930131,-1.326725364,824441,825745,1
3,2,20,2.043961048,34.27436829,225,3403,-1.723475099,4.942350864,20.50956141,212.3089442,477.6482363,244.3410535,-0.781925559,825603.5,831233.1875,0
2,3,22,50.94860077,70.04005432,22.89055061,0,1.818591595,1.40028429,11.08361575,294.6698752,4431.699458,2519.120103,-0.281704515,829398,809522,1
2,3,201,35.51884079,37.89894104,278.1300964,5783,1.965417624,2.639752626,188.8491539,80.95866664,187.5752166,442.6080005,0.085190922,804938,812760,1
3,3,224,6.111021519,53.76415253,315,7633,-0.624893129,3.843769073,33.45332436,243.2526117,848.4146716,409.6660457,-0.000001,845842.375,829597.0625,0
1,2,16,8.12395668,30.76359558,225,3374,-0.337238759,3.556114674,31.42736767,1.932547953,4320.620395,120.5185059,0.570606053,833974.9375,837697,0
3,3,251,52.65062332,72.45851135,285.6422424,5172,1.879727125,1.33914876,10.38914971,924.9245424,1330.536319,1317.925396,0.968691707,843570,822379,1
2,3,39,52.62176895,63.46440506,236.00354,6937,1.532109618,0.993619084,93.71635038,589.8902811,1657.621268,293.8511786,1.25871861,842676,816570,1
2,3,351,4.562799931,37.13340759,18.43494797,7067,0.690702379,5.747049332,117.2565148,117.0271537,888.0695682,805.7940783,-0.000001,810951.4375,813154.3125,0
1,3,158,5.764438152,13.0989933,0.000001,7755,-0.683699369,3.902575254,54.98409495,927.2421053,4980.944569,508.5134918,-1.048473835,819047.875,815017.9375,0
1,3,15,2.043964148,26.73275185,45,3426,-1.723473668,4.942349434,4.973411167,201.6213275,1725.43671,1253.882192,-1.121433854,835978,821717,1
1,3,8,0.000001,30.19124985,-1,4162,-5,6,25.05747135,254.9397334,909.8795063,435.8551484,0.424478263,815345.5625,829244.1875,0
1,3,175,0.000001,33.27684021,-1,3557,-5,6,27.67798614,596.8647764,2126.923677,446.1146255,-2.189653873,837443.75,828409.5,0
3,3,25,18.21496582,20.48636055,237.5288086,7873,0.497961402,2.720914364,22.46748462,182.4413598,16.74891589,469.3047916,0.202497303,816210,827650,1
1,2,17,21.10923195,36.40721893,11.30993176,5361,0.657657266,2.5612185,2.339056129,0.683280228,1167.324978,374.4716375,-0.269705802,827530,833707,1
2,1,75,29.92131233,67.99484253,285.255127,6070,1.056957483,2.161918402,9.141722055,48.26370677,4.105952287,708.5728738,-2.033360958,817755,826620,1
3,3,125,40.60752106,64.97718811,222.6140594,4838,1.45550704,1.763368845,5.245703218,111.3241629,943.4267298,1149.738453,1.147514701,833935,815352,1
1,1,41,43.31624603,80.03068542,105.5241089,4951,1.550629973,1.668245792,2.733664713,11.50429277,2568.814702,955.2874998,0.454612046,832960.625,821390.75,0
1,3,5,10.11701298,30.891119,171.8699036,4754,-0.114101484,3.332977295,38.47755711,1659.729508,4107.611393,387.3138005,-0.109605081,831945.0625,808557.3125,0
3,3,11,8.12512207,20.93046379,135,5812,-0.683666945,3.209395647,12.41489928,124.9991634,4.990202279,556.3382767,0.231085703,816534.875,826382.1875,0
3,3,208,26.89628792,38.58975983,275.7106018,7578,2.54011941,3.897632122,63.35519615,2.427364422,912.9454234,13.99572006,-0.093583122,829970.625,832482.0625,0
3,3,61,30.15413666,50.57966995,55.61965561,7192,1.066334844,2.152540922,4.481573927,62.45980699,5840.79764,782.0473949,-2.354048729,830239,837854,1
2,2,129,23.25452614,39.1567688,229.7636414,6313,0.764833808,2.454041958,1.642580587,461.8360644,3194.811878,281.128459,-4.496034622,855141,828093,1
2,3,64,35.03763962,32.417202,210.2564392,5980,0.907883644,1.617845058,10.64544603,3.947691303,876.9866006,1669.902576,0.571043253,834770,822380,1
3,1,15,40.6806221,70.59320068,220.2363586,5504,1.111515045,1.414213657,9.626775974,1003.110165,2521.011458,80.28218184,0.505468011,830527,814732,1
3,3,41,45.78136063,33.08218765,335.3231506,7024,1.290142417,1.235586286,59.06353679,193.7857436,128.7763668,319.2402588,-1.458308935,837036,826031,1
3,3,203,26.7832489,66.97666931,143.1300964,6987,0.92578429,2.293091536,6.709208395,6.254632205,3.369621496,1412.114401,0.181371301,831478,827103,1
2,3,68,8.370541573,52.52745819,210.9637604,4261,1.484839082,5.317555904,0.87115696,44.16413551,5060.962747,637.6110055,-0.528081894,833277,838013,1
2,3,443,26.60934639,21.95280266,319.0856018,7340,2.52766037,3.9100914,223.8346071,775.2849251,3480.387326,459.070546,1.574184418,826782.0625,836418.6875,0
3,3,38,39.772995,72.42440796,194.0362396,5711,1.425960183,1.792915702,60.1360412,93.86627208,4043.666262,2407.675188,-0.554776192,829575,809900,1
1,2,11,0.000001,23.63209915,-1,6474,-5,6,30.98243006,47.28477993,7555.33019,1106.705378,-0.689414978,833691.0625,843309.8125,0
3,2,6,0.000001,0.000001,-1,3111,-5,6,27.03145057,385.8874978,2193.100586,50.57244876,0.076178804,818160.25,837460.75,0
3,3,71,61.86819458,69.76148224,356.9059448,6248,2.235554695,0.98332113,41.18753074,120.3540887,601.1485099,1084.166809,-1.605496168,838103,825960,1
2,3,175,19.36727333,25.25352097,201.0375061,8167,3.261880159,5.352893353,1953.383783,2377.976277,4714.163271,5496.404549,-0.54288578,843558.4375,805197.625,0
3,3,68,24.29548454,62.51776123,243.4349518,7445,1.912698507,3.503401995,1.149164345,1549.298767,3680.187824,2932.362028,0.996931672,845186,820245,1
2,3,89,46.25284576,23.44877625,127.1466904,6526,1.306610703,1.219117999,14.68229655,12.03281925,9.770052238,578.1609874,-0.000001,805571,808811,1
3,3,91,38.39540863,51.79534912,217.2348328,6515,1.37682426,1.842051506,26.44248558,549.5345575,549.0343637,176.9310917,-1.473235846,837397,814468,1
3,3,24,44.15090942,69.05672455,188.9726257,7724,1.579794645,1.63908124,123.2008443,1135.633452,4124.240792,1552.249437,-0.306173027,830514,809042,1
1,2,7,2.04403019,34.12770462,45,3579,-5,6,25.40528614,92.41583664,129.9908882,816.9619087,-0.168141946,820529.25,833074.625,0
1,3,61,38.72904968,77.15099335,102.7243576,7171,1.388771057,1.830104828,33.14604511,1238.181142,3627.944736,989.009041,-2.746562004,837100,819847,1
1,2,7,0.000001,0.000001,-1,1846,-5,6,12.57474294,176.2984941,175.2808331,533.5844656,0.169963777,820407.4375,832778.125,0
1,3,26,17.70274162,59.55185699,108.4349518,2827,0.467479855,2.751395941,2.536868425,24.4509547,4476.022332,240.1538145,-1.831885576,833815,837675,1
3,3,97,28.5803318,46.21615219,346.6075134,7530,0.655477226,1.870251417,94.59529766,80.58289836,83.10661418,60.55574203,-0.000001,840413.875,812399.125,0
2,3,121,34.14340973,46.14988708,225,7532,0.874486983,1.65124166,5.788929905,78.66473469,1319.348448,1927.411269,-0.000001,837015,836478,1
2,3,25,31.93371773,26.4746151,291.370636,6834,0.790075898,1.735652804,9.444217408,47.8603495,1110.697784,180.6896584,-0.000001,842965,839140,1
3,3,310,25.14649773,13.38002396,36.25383759,7720,0.853189409,2.365686417,44.40893898,183.0442246,963.5771063,203.9919332,-0.52692169,830255.125,832252.5625,0
1,1,6,14.16341019,25.12543106,270,1062,0.23253724,2.986338615,31.63842227,1159.799934,3325.950968,141.7462353,0.331155568,831743.625,821685.75,0
3,3,54,35.31617355,70.88056946,265.9143982,7498,1.264780879,1.954094887,85.20561588,216.6533198,127.3227578,341.273254,-1.865854263,837040,826005,1
2,3,232,10.11704063,34.54716492,98.13010406,6870,3.692563772,7.139636993,147.6726805,87.61755036,0.0213,890.0546367,-0.000001,804652.5,808706.1875,0
3,3,281,45.44821548,59.12373352,333.4349365,7624,1.278510571,1.247218132,6.911281502,16.55260435,556.6814996,298.9395785,-0.069140166,835940,814327,0
2,3,244,36.69667816,39.33762741,298.3007507,7215,1.315451741,1.903424025,68.54002676,420.6624478,4166.636496,171.1483651,-0.000001,827210.4375,836976.3125,0
1,2,3,0.000001,0.000001,-1,5173,-5,6,29.26817702,166.6276916,1880.199667,271.4788682,2.395915985,818924.6875,836424.625,0
1,1,7,0.000001,32.50949478,-1,1385,-5,6,10.50233909,109.013698,3474.244271,2383.807434,-0.375051528,834826.5625,819783.125,0
3,2,104,40.96918488,22.12802696,324.4623108,6531,1.121695638,1.404032946,9.664044304,364.371761,1668.931858,859.6900363,-1.410313368,842085,830755,1
3,3,66,40.80014038,70.64897919,74.74488068,2630,1.462307096,1.75656867,14.52156033,643.8500519,2880.266296,738.7436573,-0.050433397,841315,820350,1
1,3,44,28.63116837,79.43392944,33.69006729,0,1.004161716,2.21471405,12.2359028,2156.790101,3931.785195,2102.316296,-1.059710145,846010,820345,1
3,3,15,18.70640755,34.10131836,26.56505013,2827,0.179946095,2.345782518,18.83781356,652.1423685,7717.030868,5209.441853,-1.289406538,820975,807320,1
2,3,202,11.75480747,57.37044144,165.9637604,7892,1.138255119,4.277845383,6.864633811,71.93169655,1606.806225,1149.574403,-0.000001,836689.8125,837459.5625,0
1,3,56,0.000001,10.11606216,-1,2920,-5,6,23.14124718,594.4155504,2192.371438,546.7235327,1.26402092,838516.9375,829026.625,0
3,3,7,5.76442194,17.52484512,270,3753,-0.68370223,3.902578115,9.024872933,623.1188959,4353.217412,62.86260763,0.085521281,818434,814863,1
3,3,430,19.36555099,19.63932991,291.0375061,7288,0.563835144,2.655040741,58.81855985,935.5792164,295.5876586,1022.782052,-0.000001,825184.5625,828786.375,0
3,3,369,35.10818863,41.9485817,291.0375061,6019,0.910501897,1.615226865,11.40385598,184.4573771,226.6238754,1432.767495,0.857327342,834034,814642,1
3,2,7,5.764494419,30.19628716,90,7464,-0.683689594,3.902565479,16.87445555,27.78663532,32.25100627,314.6137741,0.511098385,823182.5625,834749.5625,0
3,3,312,11.4133091,18.37517929,270,5434,-0.337231845,2.862960577,4.751171318,25.74309336,311.773092,2029.69249,1.156925797,829445.6875,828466.3125,0
2,1,185,19.99841118,18.79987144,146.3099365,6536,4.832774639,6.85431385,218.0461847,686.5807983,967.2939338,244.3364777,-0.000001,820594.9375,828418.6875,0
3,3,236,38.7294426,42.34457016,24.14554214,7032,1.388785005,1.830090761,322.3070785,613.3439892,12.35802766,269.5164793,-0.000001,805557.625,811006.9375,0
1,3,445,36.60027695,51.93444061,80.21759033,7403,1.311938524,1.906937361,21.765237,369.598365,18.39842657,884.4465151,-0.510403752,834582,814465,1
3,3,52,58.15003967,55.67070389,131.1859283,7176,1.73891151,0.786817133,76.63083144,236.0172496,104.2870924,361.6804646,-2.590954781,837065,826000,1
3,3,77,5.763776779,48.07461166,0.000001,7564,1.881134391,6.467639923,65.57339403,606.0619001,3204.716504,1402.635489,-0.48315084,842505,818350,1
3,3,124,37.09877014,39.70547867,295.7099609,3349,2.592932463,3.151671886,20.95905088,12.96187749,21.73487898,452.3094542,-0.276221991,807156,813765,1
2,3,61,22.14292145,16.49041748,119.7448807,7642,0.710325718,2.508550167,60.6000909,914.1935033,7872.256919,544.9501336,-0.005914988,832551.8125,842661.375,0
1,3,9,0.000001,4.172681808,-1,2207,1.5,2,0.947398402,319.8240511,361.2255929,49.14105027,-0.707483828,837918,815442,1
3,3,149,28.53062057,31.91525459,291.8014221,7558,3.944423199,5.163330555,77.1869158,138.910414,4791.60976,322.5834334,-0.000001,847173,816961,1
1,3,146,21.51391602,51.61440277,309.8055725,2528,0.331944793,2.193783998,6.480358596,813.6909243,2438.92316,824.2774362,1.31262064,841735,820710,1
3,1,195,7.332409382,53.24145889,11.30993176,3901,1.5,2,62.08371967,489.9034133,1782.998133,1220.26005,0.836602807,842780,821400,1
1,2,1,6.438801289,12.19992542,26.56505013,6601,-5,6,12.14919099,1252.005286,1201.939557,322.9861358,-0.000001,822112.9375,838554.5,0
2,3,281,43.37974167,41.24714279,55.88552856,6996,1.206276298,1.319452405,106.4670911,620.0945968,109.3097478,1069.967912,-2.427793741,833697,825499,1
3,3,194,61.25825119,55.26486588,41.63353729,7269,2.210130692,1.008745193,4.91923415,32.78338326,498.4639763,1352.505596,0.263462275,834334,814922,1
3,3,34,24.88857841,58.09656525,202.3801422,7226,0.841442704,2.377433062,24.02961914,38.01144213,5043.989009,36.46034051,0.023331897,833640,839125,1
3,3,97,46.96972275,78.22875977,344.9816284,4263,1.678248286,1.54062748,8.756850567,425.9910848,3324.044708,503.684107,-0.535285771,840645,820057,1
3,3,410,22.67142868,23.64447403,64.98310852,7344,0.736501694,2.482374191,79.92366504,264.9137314,4327.713572,575.0059307,-0.000001,836070.6875,830499.6875,0
1,3,157,39.48772049,41.46258163,220.0302582,4754,1.06925106,1.456477642,20.20557307,74.3988422,71.52220738,307.1280369,-0.561056495,837757,814154,1
1,3,159,15.20710468,17.49207497,111.8014069,5353,0.306848943,2.912026882,2.187231126,142.789045,52.91459228,2180.842781,-5.024713993,830630,827200,1
1,3,138,19.73237801,79.12195587,39.28940582,4711,0.584139764,2.634736061,13.93046808,48.8639036,588.2500114,857.14231,0.411112219,835000,815000,1
3,3,23,39.87606049,71.11146545,115.0168915,6873,1.429617286,1.789258599,7.381811413,70.68610938,852.5632412,389.7459647,-0.000001,843055,838385,1
3,3,380,38.05279922,38.78783798,358.1523743,7904,1.017948866,1.507779837,341.1619436,20.19793879,2720.156022,1504.697746,-0.000001,829802.4375,834705.1875,0
2,3,120,26.78203583,14.88803577,270,6436,0.579158187,1.946570516,330.2265886,185.860037,5185.437937,781.8909563,2.385648727,815037.125,833851.625,0
1,3,209,35.85360336,74.81310272,12.09475613,6347,1.284601927,1.934273839,5.354618683,26.51938836,16.72478799,898.737914,2.034114361,806459,811953,1
2,3,362,30.15595055,23.57902145,357.510437,7096,2.106128454,3.192188978,79.34123559,176.800784,50.60134781,625.314276,-0.000001,806302,813012,0
1,1,5,0.000001,0.000001,-1,2127,-6.239925861,16.78592491,3.130829028,672.4232349,1474.557832,893.5179112,0.233965904,834543.4375,815987.5625,0
1,3,46,0.000001,28.41755295,-1,4788,-5,6,17.651527,498.599383,406.1171239,210.3440476,-1.284706712,836495,812394.375,0
3,3,17,19.4575119,61.0066185,0.000001,5482,0.5689556,2.649920225,25.94057521,86.30262611,2287.74656,331.9456617,-0.748952627,838223,828354,1
3,3,68,33.579319,32.24721909,98.74616241,8113,0.853207767,1.672520876,194.8745142,645.7957784,4885.466191,1631.033008,-0.000001,844138.8125,842848.0625,0
2,3,182,21.75315475,57.33623505,161.5650482,7586,1.38384974,3.221320391,48.40030191,701.788398,6572.416777,6595.6127,-1.482307315,844850.8125,803566.3125,0
2,3,178,20.17728424,26.93997574,105.9453964,7123,2.217784882,4.219966888,50.06095764,81.53139559,80.31173104,999.8255476,-1.104875684,831980,827188,1
3,2,13,6.438746929,18.23822975,206.5650482,7506,-0.5722332,3.791109085,28.29083502,505.7918373,3937.556104,662.951485,-1.72960186,856246.8125,828495.1875,0
3,2,119,56.73825836,72.87995911,294.4439392,5890,2.031151533,1.187724352,61.3291308,1641.714369,5104.092587,1448.208506,-0.013892604,846743,819419,1
2,2,135,33.69095993,62.99589157,150.5241089,5544,1.204006553,2.014869213,6.225787272,22.85659323,2001.752002,944.6709085,2.3623631,853527,828291,1
3,2,59,5.764400482,26.70480156,0.000001,3499,-0.683705926,3.902581692,19.6522276,51.74655684,2986.901591,141.1485345,0.27621454,831541.0625,833862,0
3,3,18,29.43422318,76.03131104,26.56505013,4800,1.03719461,2.181681156,11.32358075,667.087573,6674.470251,209.3850419,-0.95088309,848450,818345,1
1,1,6,2.043839216,58.31531143,315,1371,-1.723534822,4.942410469,2.115610444,362.6679762,3883.64496,1329.786847,-0.166075125,834492.3125,818397.5625,0
3,3,43,39.41033173,32.61917114,169.3803406,7787,1.413071752,1.805804133,105.532973,293.1658416,1236.392542,505.4142134,0.888860106,837420,827515,1
3,3,66,15.20481777,4.473734379,248.1985931,7114,0.999838471,3.605331659,77.38781186,209.9816613,1.825010729,437.8465923,-0.704327285,816149.0625,828244,0
3,2,3,4.562954903,7.031012535,251.5650482,2706,-5,6,12.23580507,115.0964186,581.1421781,781.2745145,-0.0546006,821341.1875,834203.0625,0
1,3,121,33.34867859,17.50836754,327.5288086,7012,0.844456971,1.681271672,13.52027049,39.57958899,1675.458002,13.22728132,-1.223278403,830520,833020,1
3,1,30,24.09412193,35.71507645,196.3895416,7992,0.804685235,2.414190531,6.913197724,1788.03044,2120.426148,1536.387636,0.186561778,828100,823665,1
2,3,187,17.91003036,36.6538353,218.6598053,7228,0.133332506,2.392396212,198.0750019,137.7174277,223.1081861,120.7437361,0.077564053,807030.75,813205.6875,0
1,3,127,38.97926712,75.94011688,3.576333523,5760,1.397710204,1.821165681,2.658858782,566.4297978,793.0999602,228.458402,0.059472311,835600,825633,1
3,1,20,43.37977219,41.22586823,325.8855286,7344,1.20627749,1.319451213,12.63152929,535.3886096,726.367122,206.6657089,0.709400713,819550,825555,1
1,1,209,32.87699127,57.17970276,231.3401947,6654,0.826464832,1.699263811,10.26361235,494.6477134,1424.251938,1368.290398,0.834368825,843262,822003,1
3,3,112,16.84849548,60.50484467,90,7846,1.108039618,3.497130632,2.983257854,80.73668433,2036.486036,154.0762549,-0.087417841,830944,833112,1
3,3,162,55.28775406,48.80198669,233.5307617,7937,1.629951715,0.895776987,245.4682991,323.4124756,509.3449345,466.9415844,-0.000001,807846.25,811800.6875,0
1,3,16,2.043905497,33.19563293,315,7122,-1.723502278,4.942378044,169.3482305,55.13802195,7276.434457,1582.200165,-1.484928131,830162.3125,839361.875,0
2,1,88,33.26947021,49.48249435,67.38013458,6809,1.534591913,2.377431154,8.007704455,62.15675729,4.147719866,38.9272264,-1.109158516,823756,829633,1
3,1,27,55.3940506,48.58411026,125.0737534,7671,1.633917689,0.891811013,4.532614231,9.03228829,3.9637886,216.8190772,1.169637799,834552,812270,1
3,3,23,34.13978958,60.93907166,135,6514,0.874350846,1.651377797,6.915003218,195.509671,3887.148849,2252.077862,-1.841754317,829790,809900,1
1,1,5,0.000001,0.000001,-1,1436,-8.111727715,14.91412258,7.469838564,1508.457709,3112.076073,187.5344059,0.086529702,836270.3125,817654.625,0
1,3,13,31.24505424,3.007587671,286.9275208,6696,0.763138115,1.762590528,42.28812432,364.4600119,3655.015762,1588.929903,-0.339078695,832730,820200,1
3,3,46,20.1773243,37.98730087,344.0545959,5064,0.608348966,2.6105268,24.71570902,927.1326096,1277.35604,1776.54181,-1.993234515,845616,827312,1
2,1,63,30.15777206,57.63227081,124.3803482,6534,1.066480994,2.152394772,0.689288937,98.3543054,30.67177221,725.1038734,-1.968448162,817683,826580,1
3,3,66,29.19110107,10.80400658,18.43494797,7209,0.68068099,1.845047712,3.923273943,49.96191973,3785.181929,515.4644288,-2.499327183,834486,836694,1
