landuse,lithology,DTM（DEM）,slope,curvature,aspect,NDVI,SPI,TWI,dis2road,dis2drainage,dis2catchment,dis2faults,InSAR_dv,X,Y,label
2,3,120,6.439033031,8.387326241,63.43494797,7961,2.563305855,6.926558495,32.28731428,380.5881782,62.54883504,897.4124163,0.000001,814715,811725.0625,0
3,2,6,0.000001,0.000001,-1,4317,-5,6,9.043156917,875.9310374,6217.091851,42.4021815,0.612532556,826923.75,840653,0
3,3,528,33.84440994,40.02140808,160.2011261,7298,1.902950048,2.702220201,3.493490302,121.9671896,120.2390244,2293.698211,0.000001,809030,814422,1
2,3,177,34.14253616,32.11696625,315,7187,1.221027732,1.997848153,208.158443,24.38048328,175.9543402,780.2080442,0.000001,829114.4375,834704,1
1,2,11,0.000001,50.64878845,-1,6735,-5,6,2.191591309,30.50147189,3005.62618,2.031918126,0.15791963,810959.875,815286.25,0
3,3,219,32.75643158,59.92599106,41.82017136,7155,0.821844995,1.703883648,14.50626943,974.7010901,2379.079287,938.6381275,0.000001,805708.375,811012.875,1
2,3,31,47.03285217,35.85815811,203.5522614,6571,1.680457354,1.538418412,32.75148712,586.9839064,725.4787272,584.6995197,-3.032310963,855760.375,829343.3125,1
2,3,103,12.71876049,63.26320267,333.4349365,6738,0.120906129,3.09796977,106.9043875,776.5063625,70.11175488,1113.244171,0.320668399,831936,837672,1
2,3,61,26.60823059,29.81399536,220.9143829,6487,0.918173671,2.300702095,18.27516531,219.3215081,2359.711221,76.84538249,2.599052191,811335.5625,814587.0625,0
3,1,24,14.56376553,59.85735703,240.9454041,4640,0.954762161,3.65040803,1.897677977,102.1933745,2226.033018,314.778128,1.023823142,838358.9375,828211.4375,0
3,3,27,8.123925209,19.47482491,315,5191,-0.683816314,3.209544897,1.46478082,34.95321532,3976.430698,151.6737966,0.467558563,834295.0625,837480.0625,0
1,3,74,10.11838531,55.07081604,225,3869,-0.46053651,2.986265182,19.15797615,483.4288307,8122.960226,1749.948824,0.212912202,835163.625,844863.6875,0
2,3,216,33.07549286,27.65989685,144.462326,6493,0.834052444,1.691676259,39.42273969,50.65270146,8.877616079,1676.37677,0.000001,806032.125,813660.6875,1
3,2,317,13.46358109,51.26395035,71.56504822,6949,0.52641952,3.385603428,55.05956775,1.555986216,2187.588987,1057.674986,0.000001,839756.4375,840287.0625,0
2,3,183,36.31382751,37.91085815,15.94539547,7698,1.30147779,1.917397976,115.1899441,112.3268577,24.48937912,1002.391575,-9.100000381,828187.5625,835908.0625,1
3,2,4,0.000001,4.171628952,-1,3765,-5,6,56.49228841,372.9160264,1638.199295,838.6410417,-1.667730331,823733.0625,837368.1875,0
3,3,50,24.29738998,19.78452682,116.5650482,7812,0.467601269,2.058127403,30.03864536,566.4602068,13.47694736,638.6651723,1.037735224,827312,834660.5,1
1,2,4,0.000001,20.61347198,-1,6642,-5,6,44.1406668,103.882483,3027.644837,527.7600306,-0.562983215,817441.0625,813728.4375,0
2,3,387,38.25229645,32.21756363,129.8055725,7527,1.025116324,1.500612378,0.176296551,2005.5235,5066.591052,674.1168231,0.000001,813874.4375,812435.9375,1
3,3,136,39.40758896,21.13669205,190.6196594,7197,1.066400528,1.459328055,211.0277709,299.5645665,121.5162269,633.902956,0.000001,857117,831817.8125,1
2,3,222,38.97870636,59.5259552,93.57633209,7619,1.397690177,1.821185589,129.8808514,450.858951,1773.103479,335.0258457,0.000001,833921.375,824547.9375,1
3,2,24,42.29837418,38.62247467,33.69006729,6520,1.168419719,1.357308984,55.21963752,551.2433684,3476.848951,332.1545378,5.859093189,840697,820671,1
3,3,142,43.19242859,33.57600021,53.74616241,7224,1.546299815,1.67257607,34.04621469,334.395255,80.84830672,1311.971556,1.224563837,805194.8125,811060.75,1
1,1,7,0.000001,0.000001,-1,1427,-5,6,8.825177129,648.5516491,3438.463076,885.8682591,0.772915006,832323.0625,820796.75,0
2,2,160,44.15354538,25.70328712,261.0273743,5787,1.233313084,1.292415619,6.225787272,22.85659323,2001.752002,944.6709085,-0.230738968,806997.3125,814028.3125,1
2,2,138,27.95085907,18.32666588,115.3461761,7283,0.629135907,1.896592736,184.2316533,492.1846864,4699.162573,457.0864067,0.000001,828562,827240,1
2,1,256,31.28942108,13.68123817,85.23635864,4388,0.764883518,1.760845184,115.9653333,920.0467236,355.9643547,1023.053588,-3.836310625,818786.375,830796.3125,0
1,2,16,0.000001,0.000001,-1,7042,-5,6,3.799838931,111.6464328,7018.882103,1361.130457,0.67162466,830905.75,838882.3125,0
3,3,89,47.99674988,59.77853394,0.000001,7435,1.714235425,1.50464046,383.1265225,482.0137616,903.6503684,379.5609665,2.453491688,840076,845967,1
1,3,44,18.70377922,64.74500275,63.43494797,5433,0.526368678,2.692507267,8.49116423,582.3399949,5254.335689,2067.879342,0.072426863,845962.625,818325.5625,0
2,3,539,38.97681046,61.43111801,266.4236755,6683,1.397622585,1.8212533,19.51278063,340.0727298,42.94328056,708.7140764,0.000001,809512,811282,1
2,2,344,36.852005,23.4535923,45,7000,1.321105123,1.897770762,39.74332499,125.2553902,3061.145466,672.0145524,0.000001,815631.5,815169.3125,1
1,3,10,0.000001,24.43592644,-1,3403,-5,6,51.28577542,717.584705,1931.918927,1540.009297,0.829275966,846175.8125,827659,0
1,3,36,12.71994877,16.17794037,63.43494797,4792,-0.225570798,2.751299381,8.521202477,618.7300633,5302.223652,103.6977247,-3.892553568,813655.5,833304.5,0
2,3,129,26.37114334,59.4786911,14.74356174,4267,0.907808304,2.311067581,167.4394043,8.880154717,1826.913801,1840.937178,-0.455018342,832458,837490,1
1,3,20,4.563118458,33.26316071,288.4349365,7787,-0.918665409,4.137541294,95.75803049,236.8043918,9050.505855,1137.536315,1.922801137,834899.625,845760,0
2,1,244,18.60684586,16.66925621,192.9946136,6254,0.520786464,2.698089361,77.66836304,396.1952106,885.9649605,29.84896582,-1.031438112,824083.625,828163.25,0
2,3,37,2.044069529,52.44615173,315,5010,0.674473226,7.340193272,189.927474,121.6125735,3755.672034,207.4073672,-0.417672485,834116,834114,1
3,3,15,21.10909271,58.73234558,11.30993176,7057,1.004223704,2.907799244,35.46333895,63.76654313,5116.676776,494.7012983,0.637850702,816993,814108,1
3,1,102,23.25653076,48.7482872,356.6335449,6233,1.111503959,2.80051899,8.253020435,254.6562134,467.0862,258.0803274,1.64695096,810627.625,814131.625,1
3,3,11,12.71988964,28.7736702,243.4349518,5093,-0.225575656,2.751304388,314.5356472,490.658813,45.36883427,99.15977744,-2.743030787,828042,842644,1
2,1,143,40.63314438,77.85778046,270,7522,1.456411958,1.762463808,10.12804985,201.112584,1487.86883,31.9441489,0.000001,804130.3125,807880.3125,1
1,1,5,0.000001,0.000001,-1,0,-5,6,1.505956349,815.0093823,1437.432188,1183.082468,-0.114970706,835039.5,815904.875,0
3,3,33,12.71993732,23.68410492,206.5650482,7302,0.121001869,3.097873926,108.4373331,163.761592,5561.45444,772.7844258,-4.214179993,812988,833254.375,0
3,3,31,11.41431618,32.51799011,270,6982,0.009432376,3.209443331,54.46562421,236.5062079,7594.507485,884.14304,0.37872979,833252.625,842981.375,0
3,2,215,21.75226974,5.108437061,18.43494797,7310,0.344084144,2.18164444,44.69906849,40.80740357,2358.572857,350.6855843,0.000001,844217.3125,839533,0
2,3,110,17.80814743,18.88549805,225,7657,1.572426438,3.843673944,269.2326808,817.593664,4427.898081,395.5683373,0.000001,818163.75,815556.5,0
1,1,5,0.000001,0.000001,-1,1422,-5,6,5.686817632,677.0393716,2133.154096,2345.140796,-0.227543041,834566,821133.5,0
3,3,430,34.43459702,44.04000473,83.6598053,7754,1.231979251,1.986896515,44.28198001,84.86719432,4745.6871,122.2470282,-7.426661015,833363,815080,1
2,3,18,27.06607628,48.27979279,249.7751465,3490,0.591437399,1.934291244,295.4105399,2.623039024,4252.675922,401.7718939,-8.774741173,811917.6875,830216.25,0
1,1,5,0.000001,0.000001,-1,2733,-5,6,28.68084523,674.3184101,2196.330887,1537.488781,-0.649617612,833678.8125,821333.1875,0
1,1,5,0.000001,0.000001,-1,0,-7.33853817,15.68731308,1.098467376,1157.447683,2029.184663,347.909826,-0.23130846,836289.8125,815922.4375,0
3,1,35,31.55160332,43.97268295,350.5376892,8289,1.121743202,2.097132683,74.30542352,179.1054716,2633.764747,141.6597241,-0.220654905,816874.9375,814128.375,0
3,3,342,25.14815331,56.50928116,216.2538452,7640,0.506690979,2.019037724,183.2705907,181.5679383,161.0559564,206.6514677,0.000001,830470.9375,836329.875,1
3,1,5,0.000001,0.000001,-1,3842,-8.804875374,14.22097588,42.96410034,830.1848771,764.1007257,153.3170339,-0.264843822,842838.25,814520.125,0
2,3,510,12.71918774,61.55599976,26.56505013,7721,0.120940886,3.097934961,1.621229637,654.6432275,3530.159527,117.350481,0.000001,835486.875,829949.625,0
2,3,216,40.58067703,48.72093964,315,6541,1.454558849,1.764317036,9.861951093,16.97063747,10.5069697,119.7344286,0.000001,803241.1875,810965.125,1
2,3,56,31.2880249,62.04200363,318.3664551,7367,0.764828682,1.760900021,195.9399902,378.8283172,4037.00925,275.8368343,0.109741382,848609,818216,1
2,3,279,19.99871445,22.15721512,56.30993271,7552,1.984979272,4.006485462,69.63896781,630.9333582,2788.742413,960.6576883,0.000001,816915.875,810116.25,0
2,3,15,10.87987804,70.29789734,336.8014221,4365,0.306820989,3.60520196,16.74277376,36.48566547,1396.309238,909.6571867,1.072771907,822400,816092,1
3,3,108,38.84194183,45.8771286,32.19573212,6975,1.392806292,1.826069474,7.220683277,4.146316763,4173.724043,245.3549068,1.20072782,811809.4375,815149.5,1
3,3,295,35.14059067,43.64307022,75.46554565,7114,1.258277178,1.960598588,8.772213712,90.47599725,2033.029711,14.92321885,0.000001,804108.1875,810010.5,1
2,2,80,28.52729607,64.72693634,201.8014069,6874,0.65327245,1.872456193,96.56258262,120.3378638,141.2387549,1574.206117,0.000001,822474,828660,1
2,2,108,18.60697174,56.24510193,167.0053864,7403,1.560514569,3.737802982,47.09952754,888.1158698,4508.608358,702.5576869,-3.070438385,844078,818959,1
3,3,204,29.72812271,19.5706768,45,7366,0.702569366,1.823159337,215.6186481,78.57037588,1716.766471,278.3899875,0.000001,830764.375,832831.3125,0
1,3,13,2.044069767,13.62129116,315,4922,-5,6,12.41417486,58.26674367,4145.31335,121.4803495,-1.424324036,835056.9375,834126.75,0
2,2,169,19.45994949,39.91814804,270,6642,1.955385327,4.036079407,127.8697545,341.1511262,483.432875,1088.756194,1.810192823,839387.5,826107,0
2,3,312,24.29528236,60.31830215,153.4349518,6452,0.814076662,2.404799223,31.73157461,199.6016736,3013.658047,107.5711162,0.000001,834526.75,838932.8125,1
1,1,19,0.000001,20.61156464,-1,3349,-5,6,16.71713083,565.9850304,59.14814079,194.2739762,0.426072687,824587.5,830185.4375,0
3,3,80,30.48055267,64.6703949,149.0362396,7763,1.079408884,2.139467001,2.785988302,1366.441822,6240.521378,500.1254571,0.000001,813662.625,811113.375,1
1,2,18,0.000001,0.000001,-1,1932,-5,6,54.53197886,98.61453033,86.30258883,42.97726693,-0.016023362,819928.1875,831042.6875,0
2,3,203,27.06754112,23.75825882,249.7751465,6385,0.938074112,2.280801773,3.50098408,98.49876847,676.4417716,558.7686743,0.000001,811673.1875,814436.3125,1
2,3,54,40.96761322,13.3860693,35.53767776,0,4.463946342,4.746394157,256.8114967,75.19457248,394.0155951,118.7854815,2.735564709,857986.6875,827748.8125,1
2,1,162,32.55532455,9.330659866,198.4349518,7091,1.160692453,2.058183432,42.10756098,72.97362992,28.46108041,177.0804054,0.000001,856730.9375,831619.0625,1
2,1,377,24.9560051,19.6084404,139.3987122,6996,0.844522178,2.374353647,126.4737436,234.9082869,5309.662727,754.8252753,6.303556442,817801.125,817362.0625,0
2,3,90,10.11794662,55.31552505,81.86989594,7340,1.48532939,4.932219505,50.47447428,621.5936953,3288.923953,50.49193292,0.174175978,838391,823266,1
